cases,cases,cases,cases,cases,cases,cases,SUM_CASES,DATE
2.0,11533.0,16362.0,429.0,17937.0,9868.0,,56131.0,2020-12-14
856.0,13947.0,20200.0,249.0,19902.0,9071.0,0.0,64225.0,2020-12-13
2751.0,13406.0,28438.0,304.0,18726.0,8827.0,0.0,72452.0,2020-12-12
2604.0,13750.0,29875.0,303.0,16998.0,8709.0,10519.0,82758.0,2020-12-11
2708.0,14595.0,23679.0,218.0,12755.0,6524.0,7955.0,68434.0,2020-12-10
2715.0,13713.0,20815.0,214.0,14837.0,6139.0,9773.0,68206.0,2020-12-09
3353.0,3411.0,14055.0,222.0,13679.0,7055.0,0.0,41775.0,2020-12-08
592.0,11022.0,12332.0,298.0,18887.0,6769.0,17681.0,67581.0,2020-12-07
1098.0,12923.0,17767.0,457.0,21052.0,6520.0,0.0,59817.0,2020-12-06
2549.0,11221.0,23318.0,263.0,24110.0,5867.0,0.0,67328.0,2020-12-05
2364.0,12696.0,23448.0,162.0,23219.0,5603.0,8745.0,76237.0,2020-12-04
2611.0,14064.0,22046.0,268.0,20709.0,4917.0,10127.0,74742.0,2020-12-03
2674.0,8083.0,17270.0,254.0,19347.0,4042.0,9331.0,61001.0,2020-12-02
3293.0,4005.0,13604.0,303.0,16376.0,4562.0,8257.0,50400.0,2020-12-01
560.0,9784.0,11169.0,299.0,20646.0,5578.0,19979.0,68015.0,2020-11-30
1004.0,12500.0,14611.0,243.0,26315.0,4452.0,0.0,59125.0,2020-11-29
2700.0,12539.0,21695.0,205.0,28342.0,5733.0,0.0,71214.0,2020-11-28
2413.0,13563.0,22806.0,307.0,29001.0,4467.0,10853.0,83410.0,2020-11-27
2673.0,16282.0,22268.0,257.0,25852.0,4901.0,12289.0,84522.0,2020-11-26
2867.0,9155.0,18633.0,219.0,23227.0,3919.0,10222.0,68242.0,2020-11-25
3953.0,4452.0,13554.0,250.0,22927.0,5163.0,12228.0,62527.0,2020-11-24
589.0,13157.0,10864.0,318.0,28337.0,5382.0,25886.0,84533.0,2020-11-23
1263.0,17881.0,15741.0,341.0,34764.0,6062.0,0.0,76052.0,2020-11-22
3081.0,22882.0,22964.0,329.0,37239.0,5919.0,0.0,92414.0,2020-11-21
3019.0,21150.0,23648.0,415.0,36176.0,5638.0,15156.0,105202.0,2020-11-20
3700.0,28383.0,22609.0,372.0,34280.0,4606.0,16233.0,110183.0,2020-11-19
4828.0,45522.0,17561.0,330.0,32191.0,4296.0,15318.0,120046.0,2020-11-18
5821.0,9406.0,14419.0,453.0,27352.0,4822.0,13159.0,75432.0,2020-11-17
1057.0,27228.0,10824.0,377.0,33977.0,5408.0,38273.0,117144.0,2020-11-16
2371.0,32095.0,16947.0,427.0,37249.0,5903.0,0.0,94992.0,2020-11-15
5709.0,23794.0,22461.0,467.0,40902.0,6086.0,0.0,99419.0,2020-11-14
6482.0,33172.0,23542.0,385.0,37977.0,5627.0,21371.0,128556.0,2020-11-13
2004.0,35879.0,21866.0,358.0,32961.0,5400.0,19511.0,117979.0,2020-11-12
7701.0,22180.0,18487.0,230.0,35090.0,4664.0,19096.0,107448.0,2020-11-11
8636.0,20155.0,15332.0,265.0,25269.0,4674.0,17395.0,91726.0,2020-11-10
1448.0,38619.0,13363.0,539.0,32614.0,5659.0,52386.0,144628.0,2020-11-09
3046.0,86852.0,16017.0,317.0,39809.0,6659.0,0.0,152700.0,2020-11-08
6648.0,60486.0,23399.0,492.0,37802.0,7232.0,0.0,136059.0,2020-11-07
7659.0,58046.0,21506.0,563.0,34502.0,6957.0,22516.0,151749.0,2020-11-06
9230.0,40558.0,19990.0,435.0,30548.0,7622.0,21908.0,130291.0,2020-11-05
12102.0,36330.0,17214.0,298.0,28241.0,7729.0,25042.0,126956.0,2020-11-04
13858.0,52518.0,15352.0,748.0,22253.0,8278.0,18669.0,131676.0,2020-11-03
2666.0,49290.0,12097.0,546.0,29905.0,8673.0,55019.0,158196.0,2020-11-02
6308.0,32641.0,14177.0,397.0,31756.0,9790.0,0.0,95069.0,2020-11-01
15401.0,49215.0,19059.0,762.0,31079.0,11102.0,0.0,126618.0,2020-10-31
15090.0,47637.0,18681.0,863.0,26829.0,10248.0,25595.0,144943.0,2020-10-30
17998.0,36437.0,16774.0,667.0,24988.0,8092.0,23580.0,128536.0,2020-10-29
22210.0,33417.0,14964.0,700.0,21989.0,10283.0,19765.0,123328.0,2020-10-28
19868.0,26771.0,11409.0,939.0,17007.0,10324.0,18418.0,104736.0,2020-10-27
4895.0,52010.0,8685.0,1020.0,21273.0,10194.0,52188.0,150265.0,2020-10-26
11557.0,45422.0,11176.0,847.0,19640.0,8639.0,0.0,97281.0,2020-10-25
18876.0,42032.0,14714.0,785.0,19143.0,9983.0,0.0,105533.0,2020-10-24
17687.0,41622.0,11242.0,1054.0,16078.0,9268.0,19851.0,116802.0,2020-10-23
17485.0,26676.0,11287.0,1166.0,15199.0,8738.0,20986.0,101537.0,2020-10-22
19265.0,20468.0,7595.0,1263.0,10871.0,8149.0,16973.0,84584.0,2020-10-21
15560.0,13243.0,6868.0,1031.0,9337.0,7720.0,13873.0,67632.0,2020-10-20
4289.0,29837.0,4325.0,1284.0,11705.0,8439.0,37889.0,97768.0,2020-10-19
7995.0,32427.0,5587.0,1251.0,10925.0,8105.0,0.0,66290.0,2020-10-18
13477.0,25086.0,7830.0,998.0,10009.0,7978.0,0.0,65378.0,2020-10-17
11818.0,30621.0,7334.0,1186.0,8803.0,7779.0,15186.0,82727.0,2020-10-16
12293.0,22591.0,6638.0,1084.0,7332.0,7271.0,13318.0,70527.0,2020-10-15
12577.0,12993.0,5132.0,808.0,5898.0,7368.0,11970.0,56746.0,2020-10-14
9735.0,8505.0,4122.0,823.0,4619.0,6844.0,7118.0,41766.0,2020-10-13
2403.0,16101.0,2467.0,814.0,5456.0,6368.0,27856.0,61465.0,2020-10-12
4310.0,26896.0,3483.0,1011.0,5724.0,6493.0,0.0,47917.0,2020-10-11
7789.0,20339.0,4721.0,617.0,5372.0,5959.0,0.0,44797.0,2020-10-10
6588.0,18129.0,4516.0,502.0,4458.0,5813.0,12788.0,52794.0,2020-10-09
6803.0,18746.0,4058.0,609.0,3677.0,4979.0,12423.0,51295.0,2020-10-08
5687.0,10489.0,2828.0,424.0,2677.0,4517.0,10491.0,37113.0,2020-10-07
5249.0,5104.0,2639.0,519.0,2257.0,4572.0,11998.0,32338.0,2020-10-06
1035.0,12545.0,1382.0,364.0,2578.0,4000.0,23480.0,45384.0,2020-10-05
1709.0,16972.0,2279.0,605.0,2843.0,3963.0,0.0,28371.0,2020-10-04
3721.0,12148.0,2563.0,466.0,2499.0,3820.0,0.0,25217.0,2020-10-03
3410.0,13970.0,2673.0,442.0,2548.0,3253.0,11325.0,37621.0,2020-10-02
3243.0,12845.0,2503.0,415.0,1850.0,3293.0,9419.0,33568.0,2020-10-01
2984.0,8051.0,1798.0,362.0,1647.0,3001.0,11016.0,28859.0,2020-09-30
2782.0,4070.0,2089.0,388.0,1494.0,2909.0,9906.0,23638.0,2020-09-29
540.0,11123.0,1192.0,430.0,1766.0,2989.0,31785.0,49825.0,2020-09-28
944.0,14412.0,1410.0,245.0,1869.0,2711.0,0.0,21591.0,2020-09-27
1623.0,15797.0,2507.0,321.0,1912.0,2776.0,0.0,24936.0,2020-09-26
1796.0,16096.0,2153.0,319.0,1786.0,2541.0,12272.0,36963.0,2020-09-25
2097.0,13072.0,2143.0,231.0,1640.0,2351.0,10653.0,32187.0,2020-09-24
2074.0,10008.0,1769.0,323.0,1391.0,2243.0,11289.0,29097.0,2020-09-23
2204.0,4298.0,1821.0,188.0,1350.0,2215.0,10799.0,22875.0,2020-09-22
461.0,11569.0,922.0,395.0,1587.0,1843.0,31428.0,48205.0,2020-09-21
894.0,13498.0,1345.0,267.0,1637.0,1882.0,0.0,19523.0,2020-09-20
1709.0,13215.0,2297.0,248.0,1907.0,1972.0,0.0,21348.0,2020-09-19
1752.0,10593.0,1916.0,224.0,1583.0,1750.0,14389.0,32207.0,2020-09-18
1942.0,9784.0,2194.0,250.0,1452.0,1540.0,11291.0,28453.0,2020-09-17
1628.0,7852.0,1901.0,357.0,1229.0,1376.0,11193.0,25536.0,2020-09-16
1727.0,6158.0,1407.0,207.0,1008.0,1298.0,9437.0,21242.0,2020-09-15
301.0,7183.0,927.0,255.0,1456.0,1086.0,27404.0,38612.0,2020-09-14
617.0,10561.0,948.0,159.0,1501.0,1231.0,0.0,15017.0,2020-09-13
1284.0,9406.0,1630.0,211.0,1616.0,1268.0,0.0,15415.0,2020-09-12
1143.0,9843.0,1484.0,196.0,1597.0,823.0,12183.0,27269.0,2020-09-11
1024.0,8577.0,1892.0,84.0,1430.0,1140.0,10764.0,24911.0,2020-09-10
871.0,6544.0,1176.0,306.0,1369.0,963.0,8866.0,20095.0,2020-09-09
918.0,4203.0,1499.0,102.0,1150.0,797.0,8964.0,17633.0,2020-09-08
155.0,7071.0,814.0,138.0,1296.0,925.0,26560.0,36959.0,2020-09-07
322.0,8550.0,988.0,231.0,1694.0,654.0,0.0,12439.0,2020-09-06
728.0,8975.0,1378.0,97.0,1732.0,744.0,0.0,13654.0,2020-09-05
677.0,7157.0,1453.0,92.0,1397.0,421.0,10476.0,21673.0,2020-09-04
574.0,7017.0,1311.0,89.0,1326.0,914.0,8959.0,20190.0,2020-09-03
565.0,4982.0,1256.0,214.0,975.0,461.0,8581.0,17034.0,2020-09-02
634.0,3082.0,1218.0,51.0,996.0,525.0,8115.0,14621.0,2020-09-01
117.0,5413.0,610.0,40.0,1365.0,508.0,23572.0,31625.0,2020-08-31
195.0,5453.0,785.0,141.0,1444.0,500.0,0.0,8518.0,2020-08-30
614.0,7379.0,1479.0,126.0,1460.0,507.0,0.0,11565.0,2020-08-29
535.0,6111.0,1571.0,90.0,1409.0,510.0,9779.0,20005.0,2020-08-28
526.0,5429.0,1507.0,162.0,1366.0,570.0,9658.0,19218.0,2020-08-27
527.0,3304.0,1576.0,85.0,876.0,414.0,7296.0,14078.0,2020-08-26
607.0,1955.0,1278.0,147.0,953.0,572.0,7117.0,12629.0,2020-08-25
115.0,4897.0,711.0,61.0,1209.0,456.0,19382.0,26831.0,2020-08-24
203.0,3602.0,782.0,153.0,1071.0,508.0,0.0,6319.0,2020-08-23
510.0,4586.0,2034.0,79.0,947.0,534.0,0.0,8690.0,2020-08-22
581.0,4771.0,1427.0,129.0,840.0,529.0,8148.0,16425.0,2020-08-21
612.0,3776.0,1707.0,48.0,642.0,552.0,7039.0,14376.0,2020-08-20
725.0,2238.0,1510.0,186.0,401.0,487.0,6671.0,12218.0,2020-08-19
707.0,493.0,1390.0,56.0,320.0,481.0,5114.0,8561.0,2020-08-18
132.0,3015.0,561.0,66.0,477.0,506.0,16269.0,21026.0,2020-08-17
163.0,3310.0,625.0,196.0,629.0,652.0,0.0,5575.0,2020-08-16
587.0,2846.0,1415.0,66.0,574.0,636.0,0.0,6124.0,2020-08-15
669.0,2669.0,1449.0,91.0,522.0,577.0,5479.0,11456.0,2020-08-14
609.0,2524.0,1445.0,37.0,476.0,654.0,7550.0,13295.0,2020-08-13
718.0,1397.0,1226.0,33.0,412.0,779.0,3172.0,7737.0,2020-08-12
873.0,4854.0,966.0,56.0,259.0,575.0,3632.0,11215.0,2020-08-11
122.0,0.0,436.0,68.0,463.0,577.0,8618.0,10284.0,2020-08-10
304.0,0.0,555.0,174.0,347.0,486.0,0.0,1866.0,2020-08-09
771.0,2288.0,1122.0,98.0,552.0,519.0,0.0,5350.0,2020-08-08
769.0,1604.0,1147.0,69.0,401.0,601.0,4507.0,9098.0,2020-08-07
776.0,1695.0,1045.0,50.0,384.0,426.0,4088.0,8464.0,2020-08-06
814.0,1039.0,741.0,45.0,190.0,540.0,2953.0,6322.0,2020-08-05
794.0,3376.0,879.0,46.0,159.0,372.0,5760.0,11386.0,2020-08-04
148.0,0.0,509.0,53.0,238.0,311.0,8532.0,9791.0,2020-08-03
309.0,0.0,240.0,44.0,295.0,431.0,0.0,1319.0,2020-08-02
684.0,1346.0,955.0,38.0,379.0,338.0,0.0,3740.0,2020-08-01
635.0,1377.0,870.0,85.0,382.0,342.0,3092.0,6783.0,2020-07-31
703.0,1392.0,902.0,13.0,288.0,247.0,2789.0,6334.0,2020-07-30
685.0,725.0,684.0,37.0,202.0,223.0,2031.0,4587.0,2020-07-29
595.0,2551.0,633.0,11.0,168.0,205.0,1828.0,5991.0,2020-07-28
184.0,0.0,340.0,12.0,254.0,214.0,6361.0,7365.0,2020-07-27
229.0,0.0,305.0,24.0,274.0,137.0,0.0,969.0,2020-07-26
496.0,1130.0,781.0,19.0,252.0,191.0,0.0,2869.0,2020-07-25
439.0,1062.0,815.0,7.0,306.0,163.0,2255.0,5047.0,2020-07-24
553.0,998.0,569.0,17.0,280.0,168.0,2615.0,5200.0,2020-07-23
145.0,584.0,454.0,36.0,128.0,163.0,1357.0,2867.0,2020-07-22
443.0,2080.0,522.0,6.0,190.0,185.0,1358.0,4784.0,2020-07-21
64.0,0.0,249.0,10.0,218.0,144.0,4581.0,5266.0,2020-07-20
130.0,0.0,202.0,20.0,249.0,127.0,0.0,728.0,2020-07-19
274.0,836.0,529.0,32.0,231.0,103.0,0.0,2005.0,2020-07-18
226.0,534.0,583.0,15.0,230.0,99.0,1400.0,3087.0,2020-07-17
260.0,927.0,534.0,13.0,162.0,106.0,1361.0,3363.0,2020-07-16
207.0,0.0,351.0,32.0,114.0,53.0,875.0,1632.0,2020-07-15
224.0,1625.0,412.0,10.0,169.0,71.0,666.0,3177.0,2020-07-14
43.0,0.0,159.0,17.0,234.0,101.0,2045.0,2599.0,2020-07-13
62.0,0.0,248.0,22.0,188.0,81.0,0.0,601.0,2020-07-12
127.0,658.0,378.0,24.0,276.0,42.0,0.0,1505.0,2020-07-11
124.0,621.0,395.0,23.0,214.0,52.0,852.0,2281.0,2020-07-10
137.0,663.0,442.0,4.0,193.0,52.0,543.0,2034.0,2020-07-09
